city,cases,case-rate,deaths,death-rate,date
City of Irwindale,100,6854,2,137,12/2/20
City of La Canada Flintridge,275,1329,6,29,12/2/20
City of La Habra Heights,69,1265,1,18,12/2/20
City of La Mirada,1376,2774,28,56,12/2/20
City of La Puente,2386,5863,29,71,12/2/20
City of La Verne,886,2662,15,45,12/2/20
City of Lakewood,2035,2532,15,19,12/2/20
City of Lancaster*,6762,4185,75,46,12/2/20
City of Lawndale,1052,3130,13,39,12/2/20
City of Lomita,347,1674,9,43,12/2/20
City of Lynwood*,4906,6809,115,160,12/2/20
City of Malibu,161,1242,3,23,12/2/20
City of Manhattan Beach,555,1542,4,11,12/2/20
City of Maywood,1943,6927,41,146,12/2/20
City of Monrovia,1170,3015,41,106,12/2/20
City of Montebello,3643,5659,58,90,12/2/20
City of Monterey Park,1428,2294,59,95,12/2/20
City of Norwalk,5355,4976,98,91,12/2/20
City of Palmdale,8189,5151,85,53,12/2/20
City of Palos Verdes Estates,144,1065,2,15,12/2/20
City of Paramount,3549,6335,33,59,12/2/20
City of Pico Rivera,3866,6014,88,137,12/2/20
City of Pomona,9045,5801,155,99,12/2/20
City of Rancho Palos Verdes,441,1032,11,26,12/2/20
City of Redondo Beach,977,1422,13,19,12/2/20
City of Rolling Hills,16,825,0,0,12/2/20
City of Rolling Hills Estates,70,863,3,37,12/2/20
City of Rosemead,1454,2627,31,56,12/2/20
City of San Dimas*,1011,2929,15,43,12/2/20
City of San Fernando,1749,7106,23,93,12/2/20
City of San Gabriel,1095,2674,95,232,12/2/20
City of San Marino,132,994,3,23,12/2/20
City of Santa Clarita,6635,3010,66,30,12/2/20
City of Santa Fe Springs,883,4808,10,54,12/2/20
City of Santa Monica,1573,1702,48,52,12/2/20
City of Sierra Madre,137,1247,4,36,12/2/20
City of Signal Hill,412,3492,4,34,12/2/20
City of South El Monte,1268,6071,17,81,12/2/20
City of South Gate,6617,6741,82,84,12/2/20
City of South Pasadena,432,1658,27,104,12/2/20
City of Temple City,796,2184,47,129,12/2/20
City of Torrance,2174,1456,77,52,12/2/20
City of Vernon,22,10526,0,0,12/2/20
City of Walnut,550,1801,5,16,12/2/20
City of West Covina,4503,4160,74,68,12/2/20
City of West Hollywood,970,2625,9,24,12/2/20
City of Westlake Village,56,670,0,0,12/2/20
City of Whittier,3870,4426,60,69,12/2/20
Los Angeles,172287,4260,3262,81,12/2/20
Los Angeles - Adams-Normandie,426,5194,5,61,12/2/20
Los Angeles - Alsace,554,4452,3,24,12/2/20
Los Angeles - Angeles National Forest,2,5000,0,0,12/2/20
Los Angeles - Angelino Heights,98,3917,1,40,12/2/20
Los Angeles - Arleta,2469,7184,29,84,12/2/20
Los Angeles - Atwater Village,428,2918,8,55,12/2/20
Los Angeles - Baldwin Hills,920,2956,29,93,12/2/20
Los Angeles - Bel Air,134,1590,0,0,12/2/20
Los Angeles - Beverly Crest,223,1780,2,16,12/2/20
Los Angeles - Beverlywood,268,2034,0,0,12/2/20
Los Angeles - Boyle Heights*,6303,7255,84,97,12/2/20
Los Angeles - Brentwood,550,1777,5,16,12/2/20
Los Angeles - Brookside,6,1033,0,0,12/2/20
Los Angeles - Cadillac-Corning,212,2977,1,14,12/2/20
Los Angeles - Canoga Park,3260,4993,74,113,12/2/20
Los Angeles - Carthay,368,2562,17,118,12/2/20
Los Angeles - Central,2992,7673,47,121,12/2/20
Los Angeles - Century City,216,1689,2,16,12/2/20
Los Angeles - Century Palms/Cove,2181,6459,23,68,12/2/20
Los Angeles - Chatsworth,1232,3324,35,94,12/2/20
Los Angeles - Cheviot Hills,146,1592,2,22,12/2/20
Los Angeles - Chinatown,248,3092,3,37,12/2/20
Los Angeles - Cloverdale/Cochran,485,3333,5,34,12/2/20
Los Angeles - Country Club Park,545,3597,35,231,12/2/20
Los Angeles - Crenshaw District,484,3500,4,29,12/2/20
Los Angeles - Crestview,295,2595,21,185,12/2/20
Los Angeles - Del Rey,640,2138,9,30,12/2/20
Los Angeles - Downtown*,1393,5064,18,65,12/2/20
Los Angeles - Eagle Rock,1119,2827,28,71,12/2/20
Los Angeles - East Hollywood,1007,3438,48,164,12/2/20
Los Angeles - Echo Park,450,3157,6,42,12/2/20
Los Angeles - El Sereno,2047,4896,39,93,12/2/20
Los Angeles - Elysian Park,168,2941,0,0,12/2/20
Los Angeles - Elysian Valley,405,3982,5,49,12/2/20
Los Angeles - Encino,1193,2641,23,51,12/2/20
Los Angeles - Exposition,103,3097,2,60,12/2/20
Los Angeles - Exposition Park,2063,4593,27,60,12/2/20
Los Angeles - Faircrest Heights,61,1694,1,28,12/2/20
Los Angeles - Figueroa Park Square,473,5424,6,69,12/2/20
Los Angeles - Florence-Firestone,3392,7149,38,80,12/2/20
Los Angeles - Glassell Park,1097,3471,15,47,12/2/20
Los Angeles - Gramercy Place,381,3540,6,56,12/2/20
Los Angeles - Granada Hills,2230,3832,79,136,12/2/20
Los Angeles - Green Meadows,1327,6171,15,70,12/2/20
Los Angeles - Hancock Park,363,2130,4,23,12/2/20
Los Angeles - Harbor City,757,2604,12,41,12/2/20
Los Angeles - Harbor Gateway,1504,3450,19,44,12/2/20
Los Angeles - Harbor Pines,46,1910,0,0,12/2/20
Los Angeles - Harvard Heights,799,4430,30,166,12/2/20
Los Angeles - Harvard Park,2302,6068,27,71,12/2/20
Los Angeles - Highland Park,1885,3895,25,52,12/2/20
Los Angeles - Historic Filipinotown,673,4852,16,115,12/2/20
Los Angeles - Hollywood,2016,2954,20,29,12/2/20
Los Angeles - Hollywood Hills,601,2042,6,20,12/2/20
Los Angeles - Hyde Park,1152,4036,15,53,12/2/20
Los Angeles - Jefferson Park,413,5116,1,12,12/2/20
Los Angeles - Koreatown,1714,3316,36,70,12/2/20
Los Angeles - Lafayette Square,172,3773,3,66,12/2/20
Los Angeles - Lake Balboa,1759,4168,20,47,12/2/20
Los Angeles - Lakeview Terrace,856,6518,26,198,12/2/20
Los Angeles - Leimert Park,509,3341,9,59,12/2/20
Los Angeles - Lincoln Heights,1654,5074,55,169,12/2/20
Los Angeles - Little Armenia,483,6019,50,623,12/2/20
Los Angeles - Little Bangladesh,801,2826,7,25,12/2/20
Los Angeles - Little Tokyo,144,4596,1,32,12/2/20
Los Angeles - Longwood,167,3880,0,0,12/2/20
Los Angeles - Los Feliz,392,1814,3,14,12/2/20
Los Angeles - Manchester Square,299,3503,6,70,12/2/20
Los Angeles - Mandeville Canyon,44,1408,0,0,12/2/20
Los Angeles - Mar Vista,573,1349,8,19,12/2/20
Los Angeles - Marina Peninsula,60,1376,1,23,12/2/20
Los Angeles - Melrose,2982,3838,81,104,12/2/20
Los Angeles - Mid-city,401,2668,21,140,12/2/20
Los Angeles - Miracle Mile,319,1774,6,33,12/2/20
Los Angeles - Mission Hills,1466,6077,58,240,12/2/20
Los Angeles - Mt. Washington,874,3620,19,79,12/2/20
Los Angeles - North Hills,3139,5098,57,93,12/2/20
Los Angeles - North Hollywood,6816,4501,89,59,12/2/20
Los Angeles - Northridge,2501,3583,48,69,12/2/20
Los Angeles - Pacific Palisades,245,1151,4,19,12/2/20
Los Angeles - Pacoima,6059,7871,72,94,12/2/20
Los Angeles - Palisades Highlands,59,1534,0,0,12/2/20
Los Angeles - Palms,829,1889,31,71,12/2/20
Los Angeles - Panorama City,4805,6385,103,137,12/2/20
Los Angeles - Park La Brea,201,1480,1,7,12/2/20
Los Angeles - Pico-Union,2466,5894,99,237,12/2/20
Los Angeles - Playa Del Rey,48,1502,0,0,12/2/20
Los Angeles - Playa Vista,200,1827,0,0,12/2/20
Los Angeles - Porter Ranch,718,2018,7,20,12/2/20
Los Angeles - Rancho Park,132,2012,0,0,12/2/20
Los Angeles - Regent Square,56,2014,0,0,12/2/20
Los Angeles - Reseda,3966,5176,110,144,12/2/20
Los Angeles - Reseda Ranch,214,4616,1,22,12/2/20
Los Angeles - Reynier Village,67,1585,0,0,12/2/20
Los Angeles - San Pedro*,2628,3368,30,38,12/2/20
Los Angeles - Shadow Hills,127,2859,0,0,12/2/20
Los Angeles - Sherman Oaks,1945,2229,32,37,12/2/20
Los Angeles - Silverlake,1040,2359,20,45,12/2/20
Los Angeles - South Carthay,211,1992,2,19,12/2/20
Los Angeles - South Park,2790,7350,34,90,12/2/20
Los Angeles - St Elmo Village,215,4690,8,175,12/2/20
Los Angeles - Studio City,436,1943,11,49,12/2/20
Los Angeles - Sun Valley,2921,5566,36,69,12/2/20
Los Angeles - Sunland,763,3739,31,152,12/2/20
Los Angeles - Sycamore Square,8,1236,0,0,12/2/20
Los Angeles - Sylmar*,5590,6784,106,129,12/2/20
Los Angeles - Tarzana,1203,3896,38,123,12/2/20
Los Angeles - Temple-Beaudry,1811,4587,33,84,12/2/20
Los Angeles - Thai Town,302,3079,4,41,12/2/20
Los Angeles - Toluca Lake,181,2080,2,23,12/2/20
Los Angeles - Toluca Terrace,37,2833,1,77,12/2/20
Los Angeles - Toluca Woods,37,1991,0,0,12/2/20
Los Angeles - Tujunga,913,3283,18,65,12/2/20
Los Angeles - University Hills,85,2479,1,29,12/2/20
Los Angeles - University Park,1534,5587,24,87,12/2/20
Los Angeles - Valley Glen,1205,4015,21,70,12/2/20
Los Angeles - Valley Village,754,3050,30,121,12/2/20
Los Angeles - Van Nuys*,5212,5593,112,120,12/2/20
Los Angeles - Venice,574,1694,3,9,12/2/20
Los Angeles - Vermont Knolls,978,5686,19,110,12/2/20
Los Angeles - Vermont Square,493,6439,6,78,12/2/20
Los Angeles - Vermont Vista,2696,6546,26,63,12/2/20
Los Angeles - Vernon Central,4139,7960,47,90,12/2/20
Los Angeles - Victoria Park,344,4096,3,36,12/2/20
Los Angeles - View Heights,76,2057,3,81,12/2/20
Los Angeles - Watts,2749,6442,39,91,12/2/20
Los Angeles - Wellington Square,195,3967,3,61,12/2/20
Los Angeles - West Adams,1318,4770,44,159,12/2/20
Los Angeles - West Hills,953,2350,48,118,12/2/20
Los Angeles - West Los Angeles,810,2152,18,48,12/2/20
Los Angeles - West Vernon,3389,6318,57,106,12/2/20
Los Angeles - Westchester,753,1459,21,41,12/2/20
Los Angeles - Westlake,3160,5324,156,263,12/2/20
Los Angeles - Westwood,844,1560,6,11,12/2/20
Los Angeles - Wholesale District*,3078,8519,36,100,12/2/20
Los Angeles - Wilmington,2617,4633,28,50,12/2/20
Los Angeles - Wilshire Center,1683,3355,38,76,12/2/20
Los Angeles - Winnetka,2254,4353,28,54,12/2/20
Los Angeles - Woodland Hills,1656,2433,32,47,12/2/20
Unincorporated - Acton,126,1581,3,38,12/2/20
Unincorporated - Agua Dulce,63,1515,0,0,12/2/20
Unincorporated - Altadena,1078,2471,20,46,12/2/20
Unincorporated - Anaverde,51,3382,0,0,12/2/20
Unincorporated - Angeles National Forest,9,723,0,0,12/2/20
Unincorporated - Arcadia,157,1967,3,38,12/2/20
Unincorporated - Athens-Westmont,2190,5160,30,71,12/2/20
Unincorporated - Athens Village,383,7821,13,265,12/2/20
Unincorporated - Avocado Heights,412,6081,4,59,12/2/20
Unincorporated - Azusa,812,5100,7,44,12/2/20
Unincorporated - Bassett,964,6506,10,67,12/2/20
Unincorporated - Bouquet Canyon,16,1491,1,93,12/2/20
Unincorporated - Bradbury,8,7407,2,1852,12/2/20
Unincorporated - Canyon Country,257,3326,1,13,12/2/20
Unincorporated - Castaic*,2448,9003,5,18,12/2/20
Unincorporated - Cerritos,30,5111,0,0,12/2/20
Unincorporated - Charter Oak,0,0,0,0,12/2/20
Unincorporated - Claremont,29,4131,4,570,12/2/20
Unincorporated - Covina,749,4453,9,54,12/2/20
Unincorporated - Covina (Charter Oak),514,3911,4,30,12/2/20
Unincorporated - Del Aire,111,2527,2,46,12/2/20
Unincorporated - Del Rey,9,2830,0,0,12/2/20
Unincorporated - Del Sur,43,1781,0,0,12/2/20
Unincorporated - Desert View Highlands,101,4051,1,40,12/2/20
Unincorporated - Duarte,330,7453,4,90,12/2/20
Unincorporated - East Covina,13,3951,0,0,12/2/20
Unincorporated - East La Mirada,176,3326,1,19,12/2/20
Unincorporated - East Lancaster,2,1754,0,0,12/2/20
Unincorporated - East Los Angeles,9350,7464,128,102,12/2/20
Unincorporated - East Pasadena,117,1827,2,31,12/2/20
Unincorporated - East Rancho Dominguez,936,6114,18,118,12/2/20
Unincorporated - East Whittier,142,2676,0,0,12/2/20
Unincorporated - El Camino Village,232,2639,3,34,12/2/20
Unincorporated - El Monte,7,4828,0,0,12/2/20
Unincorporated - Elizabeth Lake,17,1023,0,0,12/2/20
Unincorporated - Florence-Firestone,5031,7775,60,93,12/2/20
Unincorporated - Franklin Canyon,0,0,0,0,12/2/20
Unincorporated - Glendora,20,3030,0,0,12/2/20
Unincorporated - Hacienda Heights,1699,3038,20,36,12/2/20
Unincorporated - Harbor Gateway,0,0,0,0,12/2/20
Unincorporated - Hawthorne,95,3779,0,0,12/2/20
Unincorporated - Hi Vista,12,1093,0,0,12/2/20
Unincorporated - Kagel/Lopez Canyons,58,4108,1,71,12/2/20
Unincorporated - La Crescenta-Montrose,354,1788,3,15,12/2/20
Unincorporated - La Habra Heights,10,1479,1,148,12/2/20
Unincorporated - La Rambla,98,4723,15,723,12/2/20
Unincorporated - La Verne*,55,2696,0,0,12/2/20
Unincorporated - Ladera Heights,146,2065,2,28,12/2/20
Unincorporated - Lake Hughes,12,1796,0,0,12/2/20
Unincorporated - Lake Los Angeles,490,3771,4,31,12/2/20
Unincorporated - Lake Manor,39,2374,1,61,12/2/20
Unincorporated - Lakewood,0,0,0,0,12/2/20
Unincorporated - Lennox,1071,4751,7,31,12/2/20
Unincorporated - Leona Valley,29,1656,0,0,12/2/20
Unincorporated - Littlerock,151,3755,1,25,12/2/20
Unincorporated - Littlerock/Juniper Hills,32,2467,0,0,12/2/20
Unincorporated - Littlerock/Pearblossom,152,4259,0,0,12/2/20
Unincorporated - Llano,13,1482,0,0,12/2/20
Unincorporated - Marina del Rey,132,1403,0,0,12/2/20
Unincorporated - Miracle Mile,0,0,0,0,12/2/20
Unincorporated - Monrovia,108,2783,0,0,12/2/20
Unincorporated - Newhall,36,16364,0,0,12/2/20
Unincorporated - North Lancaster,50,4174,1,83,12/2/20
Unincorporated - North Whittier,352,4211,10,120,12/2/20
Unincorporated - Northeast San Gabriel,578,2405,19,79,12/2/20
Unincorporated - Padua Hills,3,1395,0,0,12/2/20
Unincorporated - Palmdale,29,3444,0,0,12/2/20
Unincorporated - Palos Verdes Peninsula,7,1127,0,0,12/2/20
Unincorporated - Pearblossom/Llano,31,1585,1,51,12/2/20
Unincorporated - Pellissier Village,61,9855,0,0,12/2/20
Unincorporated - Placerita Canyon,0,0,0,0,12/2/20
Unincorporated - Pomona,25,1290,1,52,12/2/20
Unincorporated - Quartz Hill,367,2844,14,108,12/2/20
Unincorporated - Rancho Dominguez,114,4284,1,38,12/2/20
Unincorporated - Roosevelt,30,3222,0,0,12/2/20
Unincorporated - Rosewood,51,3966,1,78,12/2/20
Unincorporated - Rosewood/East Gardena,51,4275,1,84,12/2/20
Unincorporated - Rosewood/West Rancho Dominguez,162,4820,1,30,12/2/20
Unincorporated - Rowland Heights,1141,2236,22,43,12/2/20
Unincorporated - San Clemente Island,0,0,0,0,12/2/20
Unincorporated - San Francisquito Canyon/Bouquet Canyon,3,350,0,0,12/2/20
Unincorporated - San Jose Hills,1259,6226,20,99,12/2/20
Unincorporated - San Pasqual,15,737,0,0,12/2/20
Unincorporated - Sand Canyon,7,2273,0,0,12/2/20
Unincorporated - Santa Catalina Island,39,14607,0,0,12/2/20
Unincorporated - Santa Monica Mountains*,193,1036,1,5,12/2/20
Unincorporated - Saugus,51,32903,0,0,12/2/20
Unincorporated - Saugus/Canyon Country,15,4213,0,0,12/2/20
Unincorporated - South Antelope Valley,9,1978,0,0,12/2/20
Unincorporated - South El Monte,132,7354,0,0,12/2/20
Unincorporated - South San Gabriel,295,3334,10,113,12/2/20
Unincorporated - South Whittier,2983,5037,40,68,12/2/20
Unincorporated - Southeast Antelope Valley,23,2945,0,0,12/2/20
Unincorporated - Stevenson Ranch,327,1560,3,14,12/2/20
Unincorporated - Sun Village,287,4755,3,50,12/2/20
Unincorporated - Sunrise Village,77,5941,0,0,12/2/20
Unincorporated - Twin Lakes/Oat Mountain,22,1327,2,121,12/2/20
Unincorporated - Val Verde,123,3717,1,30,12/2/20
Unincorporated - Valencia,65,2116,0,0,12/2/20
Unincorporated - Valinda,1279,5473,12,51,12/2/20
Unincorporated - View Park/Windsor Hills,239,2054,3,26,12/2/20
Unincorporated - Walnut Park,1015,6288,17,105,12/2/20
Unincorporated - West Antelope Valley,8,529,0,0,12/2/20
Unincorporated - West Carson,670,3034,54,244,12/2/20
Unincorporated - West Chatsworth,1,8333,0,0,12/2/20
Unincorporated - West LA,55,5777,2,210,12/2/20
Unincorporated - West Puente Valley,606,6162,4,41,12/2/20
Unincorporated - West Rancho Dominguez,31,2281,3,221,12/2/20
Unincorporated - West Whittier/Los Nietos,1557,5783,20,74,12/2/20
Unincorporated - Westfield/Academy Hills,14,1077,0,0,12/2/20
Unincorporated - Westhills,22,2622,0,0,12/2/20
Unincorporated - White Fence Farms,109,2960,0,0,12/2/20
Unincorporated - Whittier,101,2669,3,79,12/2/20
Unincorporated - Whittier Narrows,5,41667,0,0,12/2/20
Unincorporated - Willowbrook,2146,6147,27,77,12/2/20
Unincorporated - Wiseburn,187,3103,1,17,12/2/20
- Under Investigation,5085,,8,,12/2/20
Pasadena,3875,,,,12/3/20
City of Agoura Hills,314,1504,7,34,12/3/20
City of Alhambra,2073,2390,34,39,12/3/20
City of Arcadia,877,1519,40,69,12/3/20
City of Artesia,649,3864,13,77,12/3/20
City of Avalon,5,129,0,0,12/3/20
City of Azusa,2346,4688,30,60,12/3/20
City of Baldwin Park,4737,6170,111,145,12/3/20
City of Bell,2363,6504,47,129,12/3/20
City of Bell Gardens,3096,7188,32,74,12/3/20
City of Bellflower,3599,4630,66,85,12/3/20
City of Beverly Hills,1054,3053,10,29,12/3/20
City of Bradbury,27,2526,0,0,12/3/20
City of Burbank,2925,2729,95,89,12/3/20
City of Calabasas,450,1850,13,53,12/3/20
City of Carson,2926,3118,64,68,12/3/20
City of Cerritos,900,1798,17,34,12/3/20
City of Claremont,753,2064,11,30,12/3/20
City of Commerce*,943,7216,14,107,12/3/20
City of Compton,6073,6079,81,81,12/3/20
City of Covina,2202,4491,62,126,12/3/20
City of Cudahy,1717,7052,18,74,12/3/20
City of Culver City,686,1721,34,85,12/3/20
City of Diamond Bar,1020,1773,16,28,12/3/20
City of Downey,6522,5708,101,88,12/3/20
City of Duarte,857,3893,37,168,12/3/20
City of El Monte,6688,5703,191,163,12/3/20
City of El Segundo,209,1245,1,6,12/3/20
City of Gardena,1881,3068,66,108,12/3/20
City of Glendale,6676,3233,199,96,12/3/20
City of Glendora,1861,3527,82,155,12/3/20
City of Hawaiian Gardens,786,5356,3,20,12/3/20
City of Hawthorne,3177,3578,58,65,12/3/20
City of Hermosa Beach,373,1896,4,20,12/3/20
City of Hidden Hills,29,1534,0,0,12/3/20
City of Huntington Park,4268,7175,66,111,12/3/20
City of Industry,55,12586,2,458,12/3/20
City of Inglewood,4453,3921,98,86,12/3/20
City of Irwindale,102,6991,2,137,12/3/20
City of La Canada Flintridge,280,1353,6,29,12/3/20
City of La Habra Heights,69,1265,1,18,12/3/20
City of La Mirada,1402,2827,28,56,12/3/20
City of La Puente,2430,5971,30,74,12/3/20
City of La Verne,901,2707,16,48,12/3/20
City of Lakewood,2086,2596,16,20,12/3/20
City of Lancaster*,6939,4295,77,48,12/3/20
City of Lawndale,1080,3213,13,39,12/3/20
City of Lomita,353,1703,9,43,12/3/20
City of Lynwood*,4977,6908,116,161,12/3/20
City of Malibu,161,1242,3,23,12/3/20
City of Manhattan Beach,558,1550,4,11,12/3/20
City of Maywood,1977,7048,41,146,12/3/20
City of Monrovia,1189,3064,41,106,12/3/20
City of Montebello,3682,5720,58,90,12/3/20
City of Monterey Park,1462,2348,59,95,12/3/20
City of Norwalk,5466,5079,100,93,12/3/20
City of Palmdale,8393,5280,84,53,12/3/20
City of Palos Verdes Estates,152,1124,2,15,12/3/20
City of Paramount,3593,6413,33,59,12/3/20
City of Pico Rivera,3965,6168,88,137,12/3/20
City of Pomona,9224,5915,156,100,12/3/20
City of Rancho Palos Verdes,452,1057,11,26,12/3/20
City of Redondo Beach,984,1432,13,19,12/3/20
City of Rolling Hills,16,825,0,0,12/3/20
City of Rolling Hills Estates,72,887,3,37,12/3/20
City of Rosemead,1489,2690,32,58,12/3/20
City of San Dimas*,1051,3045,16,46,12/3/20
City of San Fernando,1802,7322,24,98,12/3/20
City of San Gabriel,1106,2701,98,239,12/3/20
City of San Marino,136,1024,3,23,12/3/20
City of Santa Clarita,6752,3063,66,30,12/3/20
City of Santa Fe Springs,914,4977,10,54,12/3/20
City of Santa Monica,1597,1727,48,52,12/3/20
City of Sierra Madre,141,1283,4,36,12/3/20
City of Signal Hill,421,3569,4,34,12/3/20
City of South El Monte,1289,6172,18,86,12/3/20
City of South Gate,6726,6852,83,85,12/3/20
City of South Pasadena,451,1731,27,104,12/3/20
City of Temple City,838,2299,48,132,12/3/20
City of Torrance,2207,1479,77,52,12/3/20
City of Vernon,24,11483,0,0,12/3/20
City of Walnut,564,1847,5,16,12/3/20
City of West Covina,4586,4237,75,69,12/3/20
City of West Hollywood,979,2649,9,24,12/3/20
City of Westlake Village,57,682,0,0,12/3/20
City of Whittier,3947,4514,60,69,12/3/20
Los Angeles,176043,4353,3278,81,12/3/20
Los Angeles - Adams-Normandie,429,5230,5,61,12/3/20
Los Angeles - Alsace,563,4524,3,24,12/3/20
Los Angeles - Angeles National Forest,2,5000,0,0,12/3/20
Los Angeles - Angelino Heights,100,3997,1,40,12/3/20
Los Angeles - Arleta,2517,7323,29,84,12/3/20
Los Angeles - Atwater Village,435,2966,8,55,12/3/20
Los Angeles - Baldwin Hills,936,3007,29,93,12/3/20
Los Angeles - Bel Air,135,1602,0,0,12/3/20
Los Angeles - Beverly Crest,229,1828,2,16,12/3/20
Los Angeles - Beverlywood,273,2072,0,0,12/3/20
Los Angeles - Boyle Heights*,6404,7371,85,98,12/3/20
Los Angeles - Brentwood,557,1799,5,16,12/3/20
Los Angeles - Brookside,6,1033,0,0,12/3/20
Los Angeles - Cadillac-Corning,219,3075,1,14,12/3/20
Los Angeles - Canoga Park,3333,5105,74,113,12/3/20
Los Angeles - Carthay,374,2604,18,125,12/3/20
Los Angeles - Central,3034,7781,47,121,12/3/20
Los Angeles - Century City,217,1696,2,16,12/3/20
Los Angeles - Century Palms/Cove,2217,6566,23,68,12/3/20
Los Angeles - Chatsworth,1258,3394,35,94,12/3/20
Los Angeles - Cheviot Hills,148,1614,2,22,12/3/20
Los Angeles - Chinatown,257,3204,3,37,12/3/20
Los Angeles - Cloverdale/Cochran,497,3415,5,34,12/3/20
Los Angeles - Country Club Park,561,3702,36,238,12/3/20
Los Angeles - Crenshaw District,493,3565,4,29,12/3/20
Los Angeles - Crestview,304,2674,21,185,12/3/20
Los Angeles - Del Rey,661,2208,9,30,12/3/20
Los Angeles - Downtown*,1462,5315,19,69,12/3/20
Los Angeles - Eagle Rock,1142,2885,28,71,12/3/20
Los Angeles - East Hollywood,1035,3534,49,167,12/3/20
Los Angeles - Echo Park,459,3220,7,49,12/3/20
Los Angeles - El Sereno,2090,4999,40,96,12/3/20
Los Angeles - Elysian Park,174,3046,0,0,12/3/20
Los Angeles - Elysian Valley,414,4070,5,49,12/3/20
Los Angeles - Encino,1219,2699,23,51,12/3/20
Los Angeles - Exposition,108,3247,2,60,12/3/20
Los Angeles - Exposition Park,2106,4689,27,60,12/3/20
Los Angeles - Faircrest Heights,64,1778,1,28,12/3/20
Los Angeles - Figueroa Park Square,482,5527,6,69,12/3/20
Los Angeles - Florence-Firestone,3469,7312,38,80,12/3/20
Los Angeles - Glassell Park,1109,3509,15,47,12/3/20
Los Angeles - Gramercy Place,396,3679,6,56,12/3/20
Los Angeles - Granada Hills,2273,3906,79,136,12/3/20
Los Angeles - Green Meadows,1348,6268,15,70,12/3/20
Los Angeles - Hancock Park,370,2171,4,23,12/3/20
Los Angeles - Harbor City,782,2690,12,41,12/3/20
Los Angeles - Harbor Gateway,1536,3523,18,41,12/3/20
Los Angeles - Harbor Pines,48,1993,0,0,12/3/20
Los Angeles - Harvard Heights,808,4480,30,166,12/3/20
Los Angeles - Harvard Park,2357,6213,27,71,12/3/20
Los Angeles - Highland Park,1932,3992,25,52,12/3/20
Los Angeles - Historic Filipinotown,689,4968,16,115,12/3/20
Los Angeles - Hollywood,2065,3025,20,29,12/3/20
Los Angeles - Hollywood Hills,608,2066,6,20,12/3/20
Los Angeles - Hyde Park,1181,4138,14,49,12/3/20
Los Angeles - Jefferson Park,422,5227,1,12,12/3/20
Los Angeles - Koreatown,1758,3401,36,70,12/3/20
Los Angeles - Lafayette Square,178,3904,3,66,12/3/20
Los Angeles - Lake Balboa,1816,4303,20,47,12/3/20
Los Angeles - Lakeview Terrace,880,6701,26,198,12/3/20
Los Angeles - Leimert Park,514,3374,9,59,12/3/20
Los Angeles - Lincoln Heights,1690,5185,55,169,12/3/20
Los Angeles - Little Armenia,488,6081,50,623,12/3/20
Los Angeles - Little Bangladesh,819,2890,7,25,12/3/20
Los Angeles - Little Tokyo,145,4628,1,32,12/3/20
Los Angeles - Longwood,183,4252,0,0,12/3/20
Los Angeles - Los Feliz,394,1823,3,14,12/3/20
Los Angeles - Manchester Square,302,3538,6,70,12/3/20
Los Angeles - Mandeville Canyon,44,1408,0,0,12/3/20
Los Angeles - Mar Vista,583,1373,8,19,12/3/20
Los Angeles - Marina Peninsula,60,1376,1,23,12/3/20
Los Angeles - Melrose,3037,3909,81,104,12/3/20
Los Angeles - Mid-city,415,2761,21,140,12/3/20
Los Angeles - Miracle Mile,321,1785,6,33,12/3/20
Los Angeles - Mission Hills,1509,6255,58,240,12/3/20
Los Angeles - Mt. Washington,896,3711,19,79,12/3/20
Los Angeles - North Hills,3207,5208,57,93,12/3/20
Los Angeles - North Hollywood,6964,4599,89,59,12/3/20
Los Angeles - Northridge,2579,3695,49,70,12/3/20
Los Angeles - Pacific Palisades,247,1160,4,19,12/3/20
Los Angeles - Pacoima,6234,8098,73,95,12/3/20
Los Angeles - Palisades Highlands,59,1534,0,0,12/3/20
Los Angeles - Palms,846,1928,31,71,12/3/20
Los Angeles - Panorama City,4898,6509,104,138,12/3/20
Los Angeles - Park La Brea,205,1510,1,7,12/3/20
Los Angeles - Pico-Union,2522,6027,100,239,12/3/20
Los Angeles - Playa Del Rey,48,1502,0,0,12/3/20
Los Angeles - Playa Vista,204,1864,0,0,12/3/20
Los Angeles - Porter Ranch,747,2099,7,20,12/3/20
Los Angeles - Rancho Park,138,2104,0,0,12/3/20
Los Angeles - Regent Square,58,2086,0,0,12/3/20
Los Angeles - Reseda,4056,5294,109,142,12/3/20
Los Angeles - Reseda Ranch,218,4702,1,22,12/3/20
Los Angeles - Reynier Village,68,1608,0,0,12/3/20
Los Angeles - San Pedro*,2668,3419,30,38,12/3/20
Los Angeles - Shadow Hills,132,2972,0,0,12/3/20
Los Angeles - Sherman Oaks,1995,2286,32,37,12/3/20
Los Angeles - Silverlake,1068,2423,21,48,12/3/20
Los Angeles - South Carthay,214,2020,2,19,12/3/20
Los Angeles - South Park,2839,7479,33,87,12/3/20
Los Angeles - St Elmo Village,216,4712,8,175,12/3/20
Los Angeles - Studio City,444,1979,11,49,12/3/20
Los Angeles - Sun Valley,2994,5705,37,70,12/3/20
Los Angeles - Sunland,780,3822,31,152,12/3/20
Los Angeles - Sycamore Square,9,1391,0,0,12/3/20
Los Angeles - Sylmar*,5737,6963,106,129,12/3/20
